old_slug,new_slug
supporting-economic-growth-through-managing-the-european-regional-development-fund,management-of-the-european-regional-development-fund
modernising-company-law--2,company-law-reform
bringing-communities-in-northern-ireland-together,northern-ireland-community-relations
providing-clean-water-and-sanitation-in-developing-countries,water-and-sanitation-in-developing-countries
making-the-nhs-more-efficient-and-less-bureaucratic,nhs-efficiency
improving-quality-of-life-for-people-with-long-term-conditions,long-term-health-conditions
improving-care-for-people-at-the-end-of-their-life,end-of-life-care
providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence,armed-forces-and-ministry-of-defence-reform
helping-developing-countries-deal-with-humanitarian-emergencies,humanitarian-emergencies
rebalancing-the-northern-ireland-economy,northern-ireland-economy
creating-an-exceptional-civil-service-less-bureaucratic-and-more-skilled-digital-and-unified,civil-service-reform
helping-employers-make-safer-recruiting-decisions,
giving-communities-more-power-in-planning-local-development,planning-reform
reducing-the-impact-of-climate-change-in-developing-countries,climate-change-impact-in-developing-countries
reducing-hunger-and-malnutrition-in-developing-countries,hunger-and-malnutrition-in-developing-countries
increasing-the-effectiveness-of-uk-aid,overseas-aid-effectiveness
making-sure-children-in-developing-countries-get-a-good-education,education-in-developing-countries
giving-more-power-back-to-cities-through-city-deals,city-deal
reducing-drugs-misuse-and-dependence,drug-misuse-and-dependency
treating-patients-and-service-users-with-respect-dignity-and-compassion,compassionate-care-in-the-nhs
reducing-the-deficit-and-rebalancing-the-economy,deficit-reduction
improving-social-mobility-to-create-a-fairer-society,social-mobility
protecting-conserving-and-providing-access-to-the-historic-environment-in-england,conservation-of-historic-buildings-and-monuments
making-the-planning-system-work-more-efficiently-and-effectively,planning-system
reviewing-the-state-pension-age,state-pension-age
keeping-northern-ireland-safe,northern-ireland-security
making-it-easier-to-trade,business-regulation
using-industrial-strategy-to-help-the-uk-economy-and-business-compete-and-grow,industrial-strategy
working-with-local-partners-to-plan-for-and-respond-to-emergencies,emergency-planning
making-sure-council-tax-payers-get-good-value-for-money,council-tax-reform
helping-people-to-buy-a-home,homebuying
making-local-councils-more-transparent-and-accountable-to-local-people,local-council-transparency-and-accountability
supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,fire-prevention-and-rescue
giving-all-children-a-healthy-start-in-life,children-s-health
improving-the-transparency-and-accountability-of-government-and-its-services,government-transparency-and-accountability
making-the-state-pension-simpler-and-fairer,state-pension-simplification
making-legal-aid-more-effective,legal-aid-reform
making-the-administrative-justice-and-tribunals-system-more-effective,administrative-justice-reform
making-the-labour-market-more-flexible-efficient-and-fair,labour-market-reform
helping-people-save-more-for-their-retirement-through-workplace-pensions,automatic-enrolment-in-workplace-pensions
improving-the-uks-ability-to-absorb-respond-to-and-recover-from-emergencies,emergency-planning
making-mental-health-services-more-effective-and-accessible--2,mental-health-service-reform
supporting-political-stability-and-the-institutions-in-northern-ireland,northern-ireland-political-stability
marking-relevant-national-events-and-ceremonies,national-events-and-ceremonies
helping-to-reduce-poverty-and-improve-social-justice,poverty-and-social-justice
supporting-economic-growth-through-local-enterprise-partnerships-and-enterprise-zones,local-enterprise-partnerships-leps-and-enterprise-zones
