id,gov_delivery_id,title
3517,UKGOVUK_27613,"Announcements related to Rural Development Programme for England Network, Employment and Sudan"
6062,UKGOVUK_6494,Guidance about Regulation reform by Disclosure and Barring Service
1349,UKGOVUK_33045,Service Manual – User research
1350,UKGOVUK_33051,Service Manual – Measuring success
1352,UKGOVUK_33055,Service Manual – Helping people to use your service
1354,UKGOVUK_33085,Service Manual – Technology
1355,UKGOVUK_33112,Service Manual – The team
1356,UKGOVUK_33113,Service Manual – Agile delivery
1357,UKGOVUK_33114,Service Manual – Service assessments
1358,UKGOVUK_33115,Service Manual – Communities
1359,UKGOVUK_33155,Service Manual – Design
1360,UKGOVUK_33157,Service Manual – Service Standard
1362,UKGOVUK_33322,Transport: Vehicle operator licences
1363,UKGOVUK_33451,"European Structural and Investment Funds North east, North West, Yorkshire and humber, and London"
1364,UKGOVUK_33523,"European Structural and Investment Funds Yorkshire and humber, east Midlands, West Midlands, east of England, South east, and South West"
1365,UKGOVUK_33526,Upper Tribunal Administrative Appeals Chamber decisions with the following categories:
1366,UKGOVUK_33560,"European Structural and Investment Funds North West, east Midlands, West Midlands, east of England, South east, South West, and London"
1367,UKGOVUK_33595,"European Structural and Investment Funds North West, east of England, South east, and South West"
1368,UKGOVUK_33611,"European Structural and Investment Funds Yorkshire and humber, east Midlands, South east, and London"
1369,UKGOVUK_33646,European Structural and Investment Funds Yorkshire and humber and east of England
1370,UKGOVUK_33647,Brexit policy
1372,UKGOVUK_33743,"European Structural and Investment Funds North West, east Midlands, West Midlands, and London"
1373,UKGOVUK_33792,Civil contingencies and resilience policy
1374,UKGOVUK_33818,Democratic engagement policy
1375,UKGOVUK_33879,"Competition and Markets Authority (CMA) cases with the following case types: CA98 and civil cartels, competition disqualification, criminal cartels, markets, mergers, consumer enforcement, and regulatory references and appeals"
1377,UKGOVUK_33951,"Competition and Markets Authority (CMA) cases with the following case types: CA98 and civil cartels, competition disqualification, criminal cartels, markets, mergers, regulatory references and appeals, and reviews of orders and undertakings"
1378,UKGOVUK_33989,"Competition and markets authority (CMA) cases with the following case types: ca98 and civil cartels, competition disqualification, criminal cartels, markets, and mergers"
1380,UKGOVUK_33992,Anti-corruption policy
1382,UKGOVUK_34050,"Competition and markets authority (CMA) cases with the following case types: ca98 and civil cartels, competition disqualification, criminal cartels, and markets"
1383,UKGOVUK_34179,Government property policy
3519,UKGOVUK_33448,"Announcements related to Rural Payments Agency, Farming and United Kingdom"
3530,UKGOVUK_11288,Announcements related to Serious Fraud Office
3531,UKGOVUK_25817,Announcements related to Serious Organised Crime Agency
1385,UKGOVUK_34239,Competition and markets authority (CMA) cases with the following case types: competition disqualification and regulatory references and appeals
1386,UKGOVUK_34246,"Competition and markets authority (CMA) cases with the following case types: ca98 and civil cartels, competition disqualification, markets, mergers, and consumer enforcement"
1388,UKGOVUK_34249,"European Structural and Investment Funds with the following locations: North West, Yorkshire and humber, West Midlands, South east, South West, and London"
1389,UKGOVUK_34255,Upper Tribunal (Tax and Chancery Chamber) decisions with the following category: tax
1390,UKGOVUK_34258,Upper Tribunal (Tax and Chancery Chamber) decisions with the following categories: land registration and tax
1391,UKGOVUK_34298,Upper Tribunal (Tax and Chancery Chamber) decisions with the following categories: pensions and tax
1394,UKGOVUK_34314,"Cma cases with the following case types: ca98 and civil cartels, competition disqualification, criminal cartels, markets, consumer enforcement, regulatory references and appeals, and reviews of orders and undertakings"
1395,UKGOVUK_34333,"Upper Tribunal (Tax and Chancery Chamber) decisions with the following categories: banking, financial services, and tax"
1397,UKGOVUK_34346,Cma cases with the following case types: ca98 and civil cartels and competition disqualification
1398,UKGOVUK_34363,"Cma cases with the following case types: competition disqualification, markets, consumer enforcement, regulatory references and appeals, and reviews of orders and undertakings"
1400,UKGOVUK_34366,"Cma cases with the following case types: competition disqualification, markets, mergers, consumer enforcement, and regulatory references and appeals"
1401,UKGOVUK_34452,"Cma cases with the following case types: ca98 and civil cartels, competition disqualification, criminal cartels, markets, regulatory references and appeals, and reviews of orders and undertakings"
1402,UKGOVUK_34549,Upper Tribunal (Tax and Chancery Chamber) decisions with the following category: financial services
1403,UKGOVUK_34556,Cma cases with the following case types: competition disqualification and mergers
1404,UKGOVUK_34559,Employment tribunal decisions
1405,UKGOVUK_34567,First-tier Tribunal (Asylum Support) decisions
1407,UKGOVUK_34580,Ships and cargoes: Vessel reporting requirements
1408,UKGOVUK_34652,Upper Tribunal (Tax and Chancery Chamber) decisions with the following categories: charity and tax
1409,UKGOVUK_34664,"European Structural and Investment Funds with the following locations: North east, West Midlands, South east, and South West"
1410,UKGOVUK_34668,"Upper Tribunal (Tax and Chancery Chamber) decisions with the following categories: charity, pensions, and tax"
1411,UKGOVUK_34685,"Cma cases with the following case types: ca98 and civil cartels, competition disqualification, criminal cartels, markets, and regulatory references and appeals"
1412,UKGOVUK_34689,"Cma cases with the following case types: competition disqualification, markets, and regulatory references and appeals"
3,UKGOVUK_13828,Environmental management : Water
6,UKGOVUK_13835,Dealing with HMRC: Paying HMRC
7,UKGOVUK_13839,Business tax: Corporation Tax
9,UKGOVUK_13841,Business tax: International tax
10,UKGOVUK_13842,Business tax: Pension scheme administration
19,UKGOVUK_16558,Environmental management : Chemicals
21,UKGOVUK_16560,Environmental management : Environmental permits
32,UKGOVUK_16696,Drug safety update
34,UKGOVUK_16698,Alerts and recalls for drugs and medical devices with  devices
36,UKGOVUK_16700,Alerts and recalls for drugs and medical devices with  devices or drugs
